a|a ; a a a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a	a_a	aAa	a_a	a_a	a	a_a_a	a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a	a_a_a	a_a_a	a_a_a_a	a_a_a	a_a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a 	a_ a N
aAa_aAa.a	A:0	A a a	A:0	A a a				a a a A a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	A a a a	A:0	A a a a				a a a a A a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	A a a a a	A:0	A a a a a				a a a a a A a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	A a a a a	A:0	A a a a a				a a a a a a A a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	A a a	A:0	A a a				a a a A a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a	a a	Aa a a a a a a a a a a a a a a a a a a a a. Aa a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAaAaAaAaAa.a	A:0	a a a a a a	A:0	a a a a a a				Aa a a a a a a a a a a. Aa a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a	A:0	Aa a a a	A:0	Aa a a a	A:0	a a a		A a a a a a a a a a a a, a a a a a-a a a a a a a 0A.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a	A:0	Aa a a a	A:0	Aa a a a	a:Aa	a:Aa		A a a a a a a a a Aa a a.	a://a.a/a/a-a/a/a/a/a/a-0.a						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a, a a a a a a a a a, a a a a a a a.	A:0|A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a. Aa a a a a a a a. Aa a = 0a		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a a		A a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a a	A a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a									A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a	A:0	a a	A:0	a-a a		A a a a, a a a a, a a a a a Aa a a a a a a a a a a. Aa a a a a a a a a a a a, a a a a a a a, a a a a a a. Aa a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a	A:0	a a	A:0	a	a	Aa a a a a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0	a a|a a			A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a a a		A a a a a a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0 | A:0	a a|a a		Aa a a a a a; a a a a a a.	A:0|A:0|Aa:0|A:0|Aa:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a																														N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a	A:0	a a a a	A:0|A:0	a a a|a		a-0+, a0/0-0+, a+ a a a a a a a+ a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a|a a|a a|a a|a|a a|a a|a a							A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a	A:0	a a	A:0	a a	a a	Aa a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0|A:0	a a a|a a|a a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0 | A:0	a|a a|a a|a a|a a|a a|a a|a | a a	A:0	a a a a					A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a	A:0	a a	A:0	a	a a a|a-a a	A a a a a a a a a AaA-0 a AaA-0 a a a a a a a a a-a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a a|a a|a a|a a|a a	A:0	a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0|A:0	Aa 0|Aa 0|a a|Aa 0|a|Aa 0|a a																				N
a	A:0	Aa a a	A:0	Aa a a	A:0	a	a|a a|a a	Aa a a a a a a a a a a a a. Aa Aa a a a a a a a a, a a a a a a Aa.	A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a Aa a a a a a. Aa a a a a a a a a a a a a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	Aa a a	A:0	Aa a a	A:0	a	a a|a|a a	Aa a a-a a a a a a a a a a. Aa a, a a a a a a a a a a a. Aa Aa a a a.	A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a Aa a a a a a. Aa a a a a a a a a a a a a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a a a a a a a a, a, a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a a	a a a|a a a a|a a a a	A a-a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a a	A:0	a a	A:0	a		A a a a a a a a-a a a a-a a(a), a a a a, a a a a a a-a a a.	A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa a	A:0	a_a	A:0	a_a	a:aAaAa	a:aAaAa		a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0|A:0	a|a a a	a a|a	A a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a|a a|a a	A:0	a a					A:0	a a													A:0	a			A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a a	a a|a a	A a a a a a a a a a a a a a. Aa a a a a a a a a a a a a. Aa a a a a a a a, a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0	a a|a a|a a|a			A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a a a a	A:0	a a a a	A:0	a a a		Aa a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a a|a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a a a a			A:0	a a		Aa a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a					A:0	a			A:0|A:0	a|a a			A:0	a a a													A:0	Aa a a		N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a			A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a a a	A:0	a a a	A:0	a		Aa a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a a|a a|a a|a a|a a			A:0	a			A:0|A:0	a|a a	A:0	a a a a															A:0	Aa a a		N
a	A:0	a	A:0	a	A:0	a a a		A a a a a a a a a a a. Aa a a, a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a a|a a|a a|a a							A:0	a a																	A:0	Aa a a		N
a	A:0	a	A:0	a	A:0	a a a	a a	A a-0+ a a a a a a a. Aa a a a a a a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a|a a	A:0	a					A:0	a a																	A:0	Aa a a		N
a	A:0	a a a 	A:0	a a a 	A:0|A:0	a a a|a a	A|a a a a	a0+, a+ a a a a a a a a-a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a|a a	A:0	a	A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a	A:0	a	A:0|A:0	a a|a a a	a a	Aa a a a a a a a a a a. Aa a, a a0+ a a a a a a a a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a|a a|a a|a a|a a|a a|a a	A:0	a a a a	A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a a	A:0	a a	A:0	a a	A:0	Aa a a a		Aa a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0							A:0	Aa 0	A:0	Aa 0	A:0	Aa 0																				N
a	A:0	Aa 0	A:0	Aa 0	A:0	a a		A a a Aa a a, 0 - 0 a a-a a a a 0A. Aa a a a a a a a a. 	A:0						Aa_a_Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0|A:0	Aa a a|a		N
a	A:0	Aa 0	A:0	Aa 0	A:0	a a	a	A a a Aa a a a a a a a a a a a, 0 - 0 a a-a a a a 0A. Aa a. A a a a a a a a a a a a a a a a a a. Aa a a a a a a. 	A:0			a://a.a.a/a/a/a/Aa0.a	Aa a a a a a a a a a a a 0 a. Aa a = 0a		Aa_a_Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0|A:0	Aa a a|a		N
a	A:0	Aa 0	A:0	Aa 0	A:0	a a		A a a Aa a a a a a a a a a a a, 0 - 0 a a-a a a a 0A. Aa a a a a a a a a a. Aa a a a a a. 	A:0			a://a.a.a/a/a/a/Aa0.a	Aa a a a a a a a a a a a 0 a. Aa a = 0a		Aa_a_Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0|A:0	Aa a a|a		N
a	A:0	Aa 0	A:0	Aa 0	A:0	a a		A a a Aa a a a a a a a a a a a, 0 - 0 a a-a a a a 0A. Aa a a a a a a. Aa a a a a a. Aa a a a. 	A:0			a://a.a.a/a/a/a/a0.a	Aa a a a a a a a a a a a 0 a. Aa a = 0a		Aa_a_Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0|A:0	Aa a a|a		N
a	A:0	Aa 0	A:0	Aa 0	A:0	a a		A a a Aa a a a a a a a a a a a, 0-0 a a-a a a a 0A. Aa a. Aa a a a a a a a a a a a a a a. Aa a a a a. Aa a a a a a. 	A:0			a://a.a.a/a/a/a/a0.a	Aa a a a a a a a a a a a 0 a. Aa a = 0a		Aa_a_Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0|A:0	Aa a a|a		N
a	A:0	Aa 0	A:0	Aa 0	A:0	a a		A a a Aa a a a a a a a a a a a, 0 - 0 a a-a a a a 0A. Aa a a. Aa a a. Aa a a a a. Aa a. 	A:0			a://a.a.a/a/a/a/a0.a	Aa a a a a a a a a a a a 0 a. Aa a = 0a		Aa_a_Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0|A:0	Aa a a|a		N
a	A:0	Aa 0	A:0	Aa 0	A:0	a a		A a a Aa a a a a a a a a a a a, 0 - 0 a a-a a a a 0A. Aa a a a a. Aa a. Aa a a. Aa a a a. 	A:0|A:0			a://a.a.a/a/a/a/a0.a	Aa a a a a a a a a a a a 0 a. Aa a = 0a		Aa_a_Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0|A:0	Aa a a|a		N
a	A:0	Aa 0	A:0	Aa 0	A:0	a a	a | a a	A a a Aa a a a a a a a a a a a, 0 - 0 a a-a a a a 0A. Aa a a a a. Aa. 	A:0			a://a.a.a/a/a/a/a0.a	Aa a a a a a a a a a a a 0 a. Aa a = 0a		Aa_a_Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0|A:0	Aa a a|a		N
a	A:0	a	A:0	a	A:0	a a a		A a, a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																							A:0	a a			A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a		A a a a a a a a a a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a a a a a a a a a.	A:0|a:0.0/a.0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a|a a|a a|a a|a a|a a|a a|a|a a							A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a| a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a a|a a|a a|a a|a a|a							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a	A:0	a a	A:0	a		A a a a a-a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a-a a	a a|a a	Aa a a a a a a a a a a a, a a a a a. Aa a a a a a a a a a a a a, a a a a, a a a a a a. Aa a a a a a a a a a a; a a, a a a a a a a a (a a a) a a a a a a a a a a, a a a a a. Aa a a a a a a a, a a a a a a a a a a a a. Aa a a a a a a a a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a, a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0|A:0	a a a|a|a a a																														N
a	A:0	a a	A:0	a a	A:0	a-a a		A a a, a 0 a a a, a a a a; a a a a a a a a a a a a a a a a a 'a a' a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a a	A:0	a a	A:0	a_a_a		A a a a a a a a a. Aa a a 0 a a a a a a, a a a a a a. Aa a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																											A:0|A:0	Aa a a|a a a		N
a	A:0	a	A:0	a	A:0	a a		Aa a a a a a a a a a a a	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a a		Aa a, a a a a a a a a a.				a://a.a.a/a/a/a/a.a	Aa a a a a a a a a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0|A:0|A:0	Aa 0|a a|a|a a|Aa 0									A:0|A:0	a a|a a										N
a.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a; a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0|A:0	a a|a a|Aa 0|a																				N
a	A:0	a a	A:0	a a	A:0	a a		Aa a-a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0	a a|a							A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a	A:0	a	A:0	a_a		Aa a a a a a a a a a a A a a a a.	A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
aAa_aAa.a	A:0	a a a a	A:0	a a a a				a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a	A:0	a a				a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a	A:0	a a a				a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a a	A:0	a a a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a	A:0	a a				a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a	A:0	a a a				a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0 | A:0	a | a a		A a-a, a a a a a a a a, a a/a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a	a a|a a a	Aa a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a. Aa a a a a a a a. Aa a = 0a		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a	a a|a a|a a	A a a a a a a a a a a. Aa a a a, a a a a a a. Aa a a, a a-0+, a+ a a a, a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a a|a a|a a|a a			A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
aAa.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAaAaAa.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a|a a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
aAaAa.a	A:0	a a	A:0	a a				Aa a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a	A:0	a a a a	A:0 | A:0	a a a | a a a	a a a a a a|a a a a a a|a a a	a-0+ a a a a a a a a a A a. a-0+, a-0+ a a a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a|a a|a a			A:0	a			A:0|A:0	a a|a																				N
a.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a		A a a a a a a a a a. 							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a		A a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a-a a		A a-a a a a a a a a a a a a a a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a	A:0	a	A:0	a a a		Aa a a a a a a a a a a a a a, a a a a a a a a a-a a a a a a a a a a a-a a.	A:0|a://a.a/a/a-a/a/a/a/a/a-0.a						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a a|a a a|a+ a a	Aa+ a a a-a a a a a a a a a a a a a-a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a|a a|a a 			A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0	Aa 0|Aa 0|a a|a|Aa 0|a a																				N
a	A:0	a a	A:0	a a	A:0	A:0		Aa a a a a a a a, a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a a									A:0|A:0|A:0	a a|a a|a																				N
a	A:0	AaA+ a a a a	A:0	AaA+ a a a a	A:0	a a a a	AaA+ a	A a a AaA+ a, a a a a a a, a a a a a a a a-0 a a0.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a	A:0	AaA+ a a a					A:0|A:0|A:0	a a|a a|a																				N
a	A:0	AaA+ a a a	A:0	AaA+ a a a	A:0|A:0	a a a|a		a-0+, a-0+, a0+ a a a a a a AaA+ a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a a	A:0|A:0|A:0|A:0	a a|a a|a|a a							A:0|A:0|A:0	a a|a|a a																				N
a.a	A:0	a a	A:0	a a				a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a a		A a a a a a a a a a, a a a a a a a. Aa a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a a			A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a a. Aa(a) a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0	a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a a	a a a	Aa a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a																														N
a; a a a a a a A:0	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a a.	A:0|Aa:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0|A:0|A:0|A:0	Aa 0|Aa 0|a|a a|a a|Aa 0																				N
aAaAaAaAaAa.a	A:0	a a	A:0	a a				Aa a a a a a a a a a a.			Aa'a Aa a. Aa a aAaAaAaAaAa.a a				Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAaAaAaAaAa.a	A:0	a a	A:0	a a				Aa a a a a, a-a, a a a a			Aa'a Aa a. Aa a aAaAaAaAaAa.a a				Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa.a	A:0	a a a	A:0	a a a				a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAaAa.a	A:0	a a a a	A:0	a a a a				Aa a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAaAaAaAaAa.a	A:0	a a	A:0	a a				Aa a a/ a a a a a a a a a a a a a a a.			Aa'a Aa a. Aa a aAaAaAaAaAa.a a				Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
